iter	Passed	Remaining
869	1252	187
870	1254	185
871	1255	184
872	1256	182
873	1257	181
874	1259	179
875	1260	178
876	1261	176
877	1262	175
878	1263	173
879	1265	172
880	1266	171
881	1267	169
882	1269	168
883	1270	166
884	1271	165
885	1272	163
886	1274	162
887	1275	160
888	1277	159
889	1278	158
890	1279	156
891	1281	155
892	1282	153
893	1283	152
894	1285	150
895	1286	149
896	1288	147
897	1289	146
898	1290	144
899	1291	143
900	1292	142
901	1294	140
902	1295	139
903	1296	137
904	1297	136
905	1298	134
906	1299	133
907	1300	131
908	1301	130
909	1302	128
910	1304	127
911	1305	125
912	1307	124
913	1308	123
914	1309	121
915	1310	120
916	1311	118
917	1312	117
918	1314	115
919	1315	114
920	1316	112
921	1317	111
922	1319	110
923	1320	108
924	1322	107
925	1323	105
926	1325	104
927	1326	102
928	1327	101
929	1328	99
930	1329	98
931	1330	97
932	1331	95
933	1333	94
934	1334	92
935	1335	91
936	1336	89
937	1338	88
938	1340	87
939	1341	85
940	1343	84
941	1344	82
942	1345	81
943	1346	79
944	1347	78
945	1348	76
946	1350	75
947	1351	74
948	1352	72
949	1354	71
950	1355	69
951	1356	68
952	1358	66
953	1359	65
954	1360	64
955	1361	62
956	1362	61
957	1363	59
958	1365	58
959	1366	56
960	1367	55
961	1368	54
962	1369	52
963	1371	51
964	1372	49
965	1373	48
966	1374	46
967	1375	45
968	1376	44
969	1377	42
970	1378	41
971	1380	39
972	1381	38
973	1382	36
974	1383	35
975	1384	34
976	1385	32
977	1386	31
978	1388	29
979	1389	28
980	1390	26
981	1391	25
982	1392	24
983	1393	22
984	1395	21
985	1396	19
986	1397	18
987	1398	16
988	1399	15
989	1400	14
990	1401	12
991	1402	11
992	1404	9
993	1404	8
994	1406	7
995	1407	5
996	1408	4
997	1409	2
998	1410	1
999	1412	0
